"Name","Latitude","Longitude","Address"
"Penn Public Safety",39.9553973421596,-75.2037009781677,"Penn Public Safety, 4040, Chestnut Street, Philadelphia, Philadelphia County, Pennsylvania, 19104, United States"
"Yardley Boro Police Dept.",40.2413991620235,-74.8369674996298,"Yardley Boro Police Dept., South Main Street, Yardley, Bucks County, Pennsylvania, 19067, United States"
"University Police Department",41.0585994679701,-80.047422982583,"145, Kiester Road, Slippery Rock, Butler County, Pennsylvania, 16057, United States"
"Pennsylvania State Police Training Center",41.2984175001502,-75.8609827001312,"Pennsylvania State Police Training Center, 1989, Camryn Way, Forty Fort, Luzerne County, Pennsylvania, 18644, United States"
"Swoyersville Police Dept",41.3058785142209,-75.8702503966772,"Swoyersville Police Dept, Main Street, Swoyersville, Luzerne County, Pennsylvania, 18704, United States"
"Lancaster City Bureau of Police",40.0412706935996,-76.3077060233031,"Lancaster City Bureau of Police, 39, West Chestnut Street, Central Business District, Lancaster, Lancaster County, Pennsylvania, 17603, United States"
"Northern :ancaster County Regional Police",40.1567716101866,-76.2777440769931,"Northern :ancaster County Regional Police, Clay Road, Warwick Township, Lancaster County, Pennsylvania, 17543, United States"
"Downingtown Police Station",40.00527275063,-75.705435699023,"Downingtown Police Station, 10, West Lancaster Avenue, Downingtown, Chester County, Pennsylvania, 19335, United States"
"Lititz Borough Police Department",40.156676168376,-76.3069097860318,"Lititz Borough Police Department, 7, South Broad Street, Lititz, Lancaster County, Pennsylvania, 17543, United States"
"Pottstown Boro Police Dept.",40.2456350443803,-75.6522369370696,"Pottstown Boro Police Dept., 100, East High Street, Hanover Court, Pottstown, Montgomery County, Pennsylvania, 19464, United States"
"Pennsylvania State Police",39.8388412846226,-75.7975567230444,"Pennsylvania State Police, 2, Moxley Road, Avon Wheel Estates, Baker, London Grove Township, Chester County, Pennsylvania, 19311, United States"
"Richland Township Police Department",40.4493875676401,-75.3527352565,"Richland Township Police Department, 229, California Road, California, Quakertown, Bucks County, Pennsylvania, 18951, United States"
"West Conshohocken Borough Police Department",40.0673062713373,-75.3233758054007,"West Conshohocken Borough Police Department, New Dehaven Street, Gulph Terrace, West Conshohocken, Montgomery County, Pennsylvania, 19085, United States"
"Reed Operations Center",40.058793079982,-77.5239797767093,"Shippensburg University, Kriner Drive, Shippensburg Township, Cumberland County, Pennsylvania, 17257, United States"
"Pennsylvania State Police Troop K",39.9970162879081,-75.2178790700275,"Pennsylvania State Police Troop K, 2101, Belmont Avenue, Pencoyd, Wynnefield Heights, Philadelphia, Philadelphia County, Pennsylvania, 19131, United States"
"Sunbury Police Department",40.861629271163,-76.7916519615678,"Sunbury Police Department, 440, Market Street, Sunbury, Northumberland County, Pennsylvania, 17801, United States"
"Police Station",40.8661667595713,-79.9154655550088,"Barracks Road, Butler Township, Butler County, Pennsylvania, 16001, United States"
"Elizabethtown College Campus Security",40.1478718507845,-76.594857202529,"Elizabethtown College Campus Security, South Mount Joy Street, Elizabethtown, Lancaster County, Pennsylvania, 17022, United States"
"Oxford Police",39.7867743375118,-75.9769808278096,"Oxford Police, 1, Octoraro Alley, Oxford, Chester County, Pennsylvania, 19363, United States"
"Springettsbury Township Police Department",39.9910800492597,-76.6702046998534,"Springettsbury Township Police Department, Mount Zion Road, Barwood, Mount Zion, Springettsbury Township, York County, Pennsylvania, 17406, United States"
"Police Station",41.4305725751332,-78.5574949391167,"Police Department, Washington Street, Downtown Saint Marys, Saint Marys, Elk County, Pennsylvania, 15857, United States"
"Kingston Police Department",41.2681365449162,-75.8909667889265,"Kingston Police Department, 500, Wyoming Avenue, Kingston, Luzerne County, Pennsylvania, 18704, United States"
"York Area Regional Police Department",39.9208536323486,-76.6824583879557,"York Area Regional Police Department, 33, Oak Street, Crestlyn Court, Spry, York Township, York County, Pennsylvania, 17402, United States"
"Hatboro Police Station",40.1779461347949,-75.1020653484716,"Hatboro Police Station, East Montgomery Avenue, Stony Brook, Hatboro, Montgomery County, Pennsylvania, 19040, United States"
"Ferguson Township Police Department",40.762267922389,-77.874663667551,"Ferguson Township Police Department, 3147, Research Drive, Bloomsdorf, State College, Centre County, Pennsylvania, 16801, United States"
"Penn College of Technology Police Department",41.2376611753399,-77.0287043982789,"Pennsylvania College of Technology, 1st Street, Millionaire's Row, Williamsport, Lycoming County, Pennsylvania, 17702, United States"
"Security",40.8330102619652,-77.8016905955618,"Security, Benner Pike, College Township, Centre County, Pennsylvania, 16801, United States"
"Westtown-East Goshen Regional Police Department",39.9329586784379,-75.5862581466684,"Westtown-East Goshen Regional Police Department, 1041, Wilmington Pike, Yearsleys Hill, West Chester, Chester County, Pennsylvania, 19382, United States"
"Elizabethtown Police Department",40.1454467851711,-76.5999083089139,"Elizabethtown Police Department, 600, South Hanover Street, Elizabethtown, Lancaster County, Pennsylvania, 17022, United States"
"Police Station",39.7911118865783,-77.7255183767351,"North Washington Street, Industrial Pallet Corporation, Greencastle, Franklin County, Pennsylvania, 17225, United States"
"Philadelphia Police Department 17th District HQ",39.9368065642375,-75.1770091198986,"Philadelphia Police Department 17th District HQ, 1201, South 20th Street, Point Breeze, South Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19146, United States"
"Pennsylvania State Police",41.3094572065244,-75.8408719494703,"Pennsylvania State Police, Wyoming Avenue, Wyoming, Luzerne County, Pennsylvania, 18644, United States"
"Police Services",41.3064767719779,-76.017726078343,"Police Services, Nittany Drive, Lehman, Lehman Township, Luzerne County, Pennsylvania, 18612, United States"
"State Police Station Troop L",40.3191414363069,-75.9525375890463,"State Police Station Troop L, 600, Kenhorst Boulevard, Reading, Berks County, Pennsylvania, 19611, United States"
"Hughesville Police Department",41.235911298292,-76.7212255003399,"Hughesville Police Department, South 5th Street, Hughesville, Lycoming County, Pennsylvania, 17737, United States"
"Centre County Sheriff's Department",40.912600034039,-77.775349499611,"Centre County Sheriff's Department, 213, East High Street, Bellefonte, Centre County, Pennsylvania, 16823, United States"
"Baldwin Police Station",40.3834261967379,-79.956932318245,"Baldwin Police Station, Churchview Avenue, Carrick, Baldwin, Allegheny County, Pennsylvania, 15236, United States"
"Pittsburgh Police - Zone 5",40.4742244485924,-79.9091550034729,"Pittsburgh Police - Zone 5, 1401, Washington Boulevard, Highland Park, Pittsburgh, Allegheny County, Pennsylvania, 15206, United States"
"Conyngham Administrative Office/Police Department",40.9903226965386,-76.0548468680248,"Conyngham Administrative Office/Police Department, School Lane, Conyngham, Luzerne County, Pennsylvania, 18219, United States"
"South Philadelphia Police Station",39.9333027960725,-75.1627278086304,"South Philadelphia Police Station, 1100, Wharton Street, Hawthorne, South Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19147, United States"
"Philadelphia Police Department Headquarters",39.9546192155072,-75.1520198062607,"Philadelphia Police Department Headquarters, 700, Race Street, Center City, Philadelphia, Philadelphia County, Pennsylvania, 19106, United States"
"Perryopolis Police Station/Borough Building",40.0868351338807,-79.749265985769,"Perryopolis Police Station/Borough Building, Independence Street, Lynn, Perryopolis, Fayette County, Pennsylvania, 15473, United States"
"Philadelphia Police 6th District",39.9566110016826,-75.1569832760918,"Philadelphia Police 6th District, North Clifton Street, Chinatown, Center City, Philadelphia, Philadelphia County, Pennsylvania, 19107, United States"
"Peters Township Police Department",40.2796140771548,-80.0809671808183,"Peters Township Police Department, Valley Brook Road, McMurray, Washington County, Pennsylvania, 15367, United States"
"Fairchance Borough Building (Police Station)",39.8204263194105,-79.7576082638208,"Fairchance Borough Building (Police Station), Municipal Street, Fairchance, Fayette County, Pennsylvania, 15436, United States"
"Messiah College Campus Safety - Greenbrier House",40.1603375366819,-76.9891053232909,"Messiah College Campus Safety - Greenbrier House, Grantham Road, Cottagebrook, Grantham, Mechanicsburg, Cumberland County, Pennsylvania, 17055, United States"
"New Holland Police Station",40.1042238718208,-76.0764996594292,"New Holland Police Station, 436, East Main Street, New Holland, Lancaster County, Pennsylvania, 17557, United States"
"Township of Palmer Police Department",40.7000571830294,-75.2710795096284,"Township of Palmer Police Department, Weller Place, Northwood Heights, Palmer Heights, Northampton County, Pennsylvania, 18045, United States"
"Police Station",41.210423449032,-79.3778414518084,"East Wood Street, Clarion, Clarion County, Pennsylvania, 16214, United States"
"Edgewood Police Department",40.4342644948015,-79.8844291998463,"Edgewood Police Department, 2, Race Street, Edgewood, Allegheny County, Pennsylvania, 15218, United States"
"Zone One Police Station",40.4569706167838,-80.0160744939019,"Zone One Police Station, Jacksonia Street, California-Kirkbride, Pittsburgh, Allegheny County, Pennsylvania, 15290, United States"
"Chalfont Borough Hall",40.2868662929456,-75.2090174338098,"Chalfont Borough Hall, 40, North Main Street, Chalfont, Bucks County, Pennsylvania, 18914, United States"
"Plum Municipal Building and Police Station",40.5038441553545,-79.7626120188066,"Plum Municipal Building and Police Station, New Texas Road, Leechburg, Plum, Allegheny County, Pennsylvania, 15239, United States"
"Bushkill Township Police Department",40.7992473821801,-75.3325307180765,"Bushkill Township Police Department, 1114, Bushkill Center Road, Bushkill Center, Nazareth, Northampton County, Pennsylvania, 18064, United States"
"Allison Hill Substation",40.2619870421011,-76.8651841116786,"Allison Hill Substation, Drummond Street, Mount Pleasant, Allison Hill, Harrisburg, Dauphin County, Pennsylvania, 17104, United States"
"Zelienople Police Department",40.7958225720601,-80.1378774634471,"Zelienople Police Department, West New Castle Street, Zelienople, Butler County, Pennsylvania, 16063, United States"
"Middletown Police",40.19366703387,-76.7253592725981,"Middletown Police, 300, East Emaus Street, Campus Heights, Middletown, Dauphin County, Pennsylvania, 17057, United States"
"Philadelphia Police Department 2nd District/15th District",40.032408799412,-75.0641441506729,"Philadelphia Police Department 2nd District/15th District, 2831, Levick Street, Philadelphia, Philadelphia County, Pennsylvania, 19149, United States"
"White Oak Borough Hall",40.3307884664705,-79.7999576021304,"White Oak Borough Hall, Lincoln Way, Rainbow, White Oak, Allegheny County, Pennsylvania, 15131, United States"
"Horsham Township Police Station",40.2075615736608,-75.1795221904922,"Horsham Township Police Station, 1025, Horsham Road, Prospectville, Horsham Township, Montgomery County, Pennsylvania, 19044, United States"
"Freeland Police Station",41.0195470305019,-75.8973923009675,"Freeland Police Station, Centre Street, South Heberton, Freeland, Luzerne County, Pennsylvania, 18224, United States"
"Saxonburg Police Department",40.751375848978,-79.8173695485127,"Saxonburg Police Department, West Main Street, Saxonburg, Butler County, Pennsylvania, 16056, United States"
